vote_id,leg_id,name,vote
AKV00000303,AKL000005,Davis,yes
AKV00000303,AKL000006,Dyson,yes
AKV00000303,AKL000007,Egan,yes
AKV00000303,AKL000008,Ellis,yes
AKV00000303,AKL000009,French,yes
AKV00000303,AKL000010,Giessel,yes
AKV00000303,AKL000011,Hoffman,yes
AKV00000303,AKL000012,Kookesh,yes
AKV00000303,AKL000013,McGuire,yes
AKV00000303,AKL000014,Menard,yes
AKV00000303,AKL000002,Meyer,yes
AKV00000303,AKL000015,Paskvan,yes
AKV00000303,AKL000001,Stevens,yes
AKV00000303,AKL000017,Thomas,yes
AKV00000303,AKL000018,Wagoner,yes
AKV00000303,AKL000019,Wielechowski,yes
AKV00000303,AKL000004,Coghill,other
AKV00000303,AKL000003,Huggins,other
AKV00000303,AKL000049,Olson,other
AKV00000303,AKL000016,Stedman,other
AKV00000304,AKL000021,Austerman,yes
AKV00000304,AKL000020,Chenault,yes
AKV00000304,AKL000023,Cissna,yes
AKV00000304,AKL000024,Costello,yes
AKV00000304,AKL000025,Dick,yes
AKV00000304,AKL000026,Doogan,yes
AKV00000304,AKL000027,Edgmon,yes
AKV00000304,AKL000028,Fairclough,yes
AKV00000304,AKL000029,Feige,yes
AKV00000304,AKL000030,Foster,yes
AKV00000304,AKL000031,Gara,yes
AKV00000304,AKL000032,Gardner,yes
AKV00000304,AKL000033,Gatto,yes
AKV00000304,AKL000034,Gruenberg,yes
AKV00000304,AKL000035,Guttenberg,yes
AKV00000304,AKL000036,Hawker,yes
AKV00000304,AKL000037,Herron,yes
AKV00000304,AKL000038,Holmes,yes
AKV00000304,AKL000040,Johnson,yes
AKV00000304,AKL000041,Joule,yes
AKV00000304,AKL000042,Kawasaki,yes
AKV00000304,AKL000043,Keller,yes
AKV00000304,AKL000022,Kerttula,yes
AKV00000304,AKL000044,Lynn,yes
AKV00000304,AKL000045,Miller,yes
AKV00000304,AKL000046,Millett,yes
AKV00000304,AKL000047,Munoz,yes
AKV00000304,AKL000048,Neuman,yes
AKV00000304,AKL000049,Olson,yes
AKV00000304,AKL000050,Petersen,yes
AKV00000304,AKL000051,Pruitt,yes
AKV00000304,AKL000052,Saddler,yes
AKV00000304,AKL000053,Seaton,yes
AKV00000304,AKL000054,Stoltze,yes
AKV00000304,AKL000055,Thomas,yes
AKV00000304,AKL000056,Thompson,yes
AKV00000304,AKL000057,Tuck,yes
AKV00000304,AKL000058,P.Wilson,yes
AKV00000304,AKL000059,T.Wilson,yes
AKV00000304,AKL000039,Johansen,no
AKV00000305,AKL000005,Davis,yes
AKV00000305,AKL000006,Dyson,yes
AKV00000305,AKL000007,Egan,yes
AKV00000305,AKL000008,Ellis,yes
AKV00000305,AKL000009,French,yes
AKV00000305,AKL000010,Giessel,yes
AKV00000305,AKL000011,Hoffman,yes
AKV00000305,AKL000003,Huggins,yes
AKV00000305,AKL000013,McGuire,yes
AKV00000305,AKL000014,Menard,yes
AKV00000305,AKL000002,Meyer,yes
AKV00000305,AKL000049,Olson,yes
AKV00000305,AKL000015,Paskvan,yes
AKV00000305,AKL000001,Stevens,yes
AKV00000305,AKL000017,Thomas,yes
AKV00000305,AKL000018,Wagoner,yes
AKV00000305,AKL000019,Wielechowski,yes
AKV00000305,AKL000004,Coghill,other
AKV00000305,AKL000012,Kookesh,other
AKV00000305,AKL000016,Stedman,other
AKV00000306,AKL000005,Davis,yes
AKV00000306,AKL000007,Egan,yes
AKV00000306,AKL000008,Ellis,yes
AKV00000306,AKL000009,French,yes
AKV00000306,AKL000011,Hoffman,yes
AKV00000306,AKL000012,Kookesh,yes
AKV00000306,AKL000013,McGuire,yes
AKV00000306,AKL000014,Menard,yes
AKV00000306,AKL000002,Meyer,yes
AKV00000306,AKL000049,Olson,yes
AKV00000306,AKL000015,Paskvan,yes
AKV00000306,AKL000001,Stevens,yes
AKV00000306,AKL000017,Thomas,yes
AKV00000306,AKL000019,Wielechowski,yes
AKV00000306,AKL000004,Coghill,no
AKV00000306,AKL000006,Dyson,no
AKV00000306,AKL000010,Giessel,no
AKV00000306,AKL000003,Huggins,no
AKV00000306,AKL000016,Stedman,no
AKV00000306,AKL000018,Wagoner,no
AKV00000307,AKL000004,Coghill,yes
AKV00000307,AKL000005,Davis,yes
AKV00000307,AKL000006,Dyson,yes
AKV00000307,AKL000007,Egan,yes
AKV00000307,AKL000008,Ellis,yes
AKV00000307,AKL000009,French,yes
AKV00000307,AKL000010,Giessel,yes
AKV00000307,AKL000011,Hoffman,yes
AKV00000307,AKL000003,Huggins,yes
AKV00000307,AKL000012,Kookesh,yes
AKV00000307,AKL000013,McGuire,yes
AKV00000307,AKL000014,Menard,yes
AKV00000307,AKL000002,Meyer,yes
AKV00000307,AKL000049,Olson,yes
AKV00000307,AKL000015,Paskvan,yes
AKV00000307,AKL000001,Stevens,yes
